1358 E 47th St, Original Pancake House, /restaurants/original-pancake-house-2/
1642 E 56th St, Piccolo Mondo, /restaurants/piccolo-mondo/
1601 E 55th St, Kikuya, /restaurants/kikuya/
1447 E 53rd St, Clarke's Hyde Park, /restaurants/clarkes-hyde-park/
1236 E 53rd St, Leona's, /restaurants/leonas-6/
1607 E 55th St, Thai 55, /restaurants/thai-55/
5500 S Cornell Ave, Morry's Deli, /restaurants/morrys-deli/
1601 E 53rd St, Cholie's Pizza, /restaurants/cholies-pizza/
1519 E 55th St, Jimmy John's, /restaurants/jimmy-johns-25/
4353 S Cottage Grove Ave, Just Turkey, /restaurants/just-turkey-2/
1327 E 57th St, Medici, /restaurants/medici/
1461 E Hyde Park Blvd, Uncle Joe's, /restaurants/uncle-joes-4/
1518 E 53rd St, Valois Restaurant, /restaurants/valois-restaurant/
1440 E 57th St, Salonica, /restaurants/salonica/
5758 S Maryland Ave, Argo Tea, /restaurants/argo-tea-2/
1516 E Harper Ct, Porkchop, /restaurants/porkchop-2/
5231 S Woodlawn Ave, Nicky's Chinese Food, /restaurants/nickys-chinese-food/
1373 E 53rd St, Litehouse, /restaurants/litehouse/
1649 E 55th St, The Snail, /restaurants/the-snail/
1400 E 47th St, Fung's Chop Suey, /restaurants/fungs-chop-suey/
5706 S University Ave, Qdoba, /restaurants/qdoba/
None, Boston Market, /restaurants/boston-market-3/
5506 S Lake Park Ave, Maravillas, /restaurants/maravillas/
1456 E 53rd Ave, Five Guys, /restaurants/five-guys-4/
None, Pierogi Wagon, /restaurants/pierogi-wagon/
1206 E 53rd St, Cedars, /restaurants/cedars/
5500 S South Shore Dr, Bar Louie, /restaurants/bar-louie-5/
1208 E 53rd St, Harold's Chicken Shack, /restaurants/harolds-chicken-shack-25/
5020 S Lake Shore Dr, Terrace Grill, /restaurants/terrace-grill/
1323 E 57th St, Zaleski & Horvath MarketCafe, /restaurants/zaleski-horvath-marketcafe/
1462 E 53rd St, A10, /restaurants/a10/
5030 S Cornell Ave, Bridgeport Coffee Hyde Park, /restaurants/bridgeport-coffee-hyde-park/
1508 E 53rd St, Mellow Yellow, /restaurants/mellow-yellow/
1459 E 53rd St, Rajun Cajun, /restaurants/rajun-cajun/
1418 E 53rd St, Red Snapper, /restaurants/red-snapper-2/
1307 E 53rd St, Pockets, /restaurants/pockets-7/
1504 E 55th St, La Petite Folie, /restaurants/la-petite-folie/
1162 E 55th St, The Nile, /restaurants/the-nile/
5311 S Blackstone Ave, Giordano's, /restaurants/giordanos-7/
1013 E 53rd St, Windy's Deli, /restaurants/windys-deli/
1368  E 53rd St, Zberry, /restaurants/zberry/
1400 E 47th St, Italian Fiesta Pizzeria, /restaurants/italian-fiesta-pizzeria/
1509 E 53rd St, Chant, /restaurants/chant/
1501 E 53rd St, Pizza Capri, /restaurants/pizza-capri-3/
1310 E 53rd St, Pepe's Mexican Restaurant, /restaurants/pepes-mexican-restaurant-2/
1312 E 53rd St, The Sit Down Cafe & Sushi Bar, /restaurants/the-sit-down-cafe-sushi-bar/
5130 S Lake Park Ave, Great Steak, /restaurants/great-steak/
1170 E 55th St, Bergstein's NY Deli, /restaurants/bergsteins-ny-deli-2/
918 E 47th St, De Rice, /restaurants/de-rice/
None, Don Rafa, /restaurants/don-rafa/
None, Mojo Express, /restaurants/mojo-express/
5311 S Lake Park Ave, The Promontory, /restaurants/the-promontory/
4317 S Cottage Grove Ave, Maracas, /restaurants/maracas/
5751 S Woodlawn Ave, Plein Air, /restaurants/plein-air/
5319 S Hyde Park Blvd, South Side Shrimp House, /restaurants/south-side-shrimp-house/
1375 E 53rd St, Shinju Sushi, /restaurants/shinju-sushi/
5226 S Harper St, Kilwins, /restaurants/kilwins/
1323 E 57th St, Zaleski & Horvath MarketCafe, /restaurants/zaleski-horvath-marketcafe-2/
1369 E 53rd St, Cafe 53, /restaurants/cafe-53/
1055 E 55th St, Seven Ten, /restaurants/seven-ten-lanes/
1611 E 55th St, Pho 55, /restaurants/pho-55/
1522 E 53rd St, Chipotle Mexican Grill, /restaurants/chipotle-4/
1400 E 47th St, JJ Fish & Chicken, /restaurants/jj-fish-chicken-7/
5428 S Lake Park Ave, Potbelly Sandwich Shop, /restaurants/potbelly-sandwich-shop-22/
1333 E 57th St, Noodles Etc, /restaurants/noodles-etc/
None, Cupcakes for Courage, /restaurants/cupcakes-for-courage/
5301 S Hyde Park Blvd, The Sip, /restaurants/the-sip/
5758 S Maryland Ave, Gold Coast Dogs, /restaurants/gold-coast-dogs-3/
1550 East 55th St, Bonjour Bakery & Cafe, /restaurants/bonjour-bakery-cafe/
4900 S Lake Shore Dr, Lake Shore Cafe, /restaurants/lake-shore-cafe/
1518 E Harper Ct, Native Foods Cafe, /restaurants/native-foods-cafe-4/
5700 S Maryland Ave, Wolfgang Puck Express, /restaurants/wolfgang-puck-express/
924 E 57th St, Red Mango, /restaurants/red-mango-7/
1372 E 53rd St, Nathan's Chicago Style, /restaurants/nathans-chicago-style/
1301 E 53rd St, Yusho, /restaurants/yusho-2/
4355 S Cottage Grove Ave, Harold's Chicken, /restaurants/harolds-chicken-2/
5841 S Maryland Ave, Au Bon Pain (Kiosk), /restaurants/au-bon-pain-kiosk/
1639-43 E 55th St, Siam, /restaurants/siam/
1603 E 55th St, Seoul Corea, /restaurants/seoul-corea/
5841 S Maryland Ave, Jamba Juice, /restaurants/jamba-juice-6/
5706 S University Ave, Einstein Bros, /restaurants/einstein-bros-8/
None, DonerMen, /restaurants/donermen/
